Lng,Lat,square,livingRoom,drawingRoom,kitchen,bathRoom,ladderRatio,elevator,subway,floor_new,constructionTime_new,buildingType_1.0,buildingType_2.0,buildingType_3.0,buildingType_4.0,buildingStructure_1,buildingStructure_2,buildingStructure_3,buildingStructure_4,buildingStructure_5,buildingStructure_6,totalPrice,predict_price,error
116.352882,40.05023,73.65,2,1,1,1,0.333,1,1,15,2006,0,0,0,1,0,0,0,0,0,1,570.0,545,4
116.323633,40.084686,62.48,2,1,1,1,0.333,0,0,6,1994,0,0,0,1,0,1,0,0,0,0,225.0,275,-22
116.25701399999998,40.054948,141.86,3,2,1,2,0.5,0,1,5,2005,0,0,0,1,0,1,0,0,0,0,984.0,1221,-24
116.320895,40.061583,126.53,3,2,1,2,0.5,0,0,8,2004,0,0,0,1,0,0,0,0,0,1,605.0,686,-13
116.406986,39.971716,54.25,2,1,1,1,0.333,0,1,6,1986,0,0,0,1,0,1,0,0,0,0,498.0,372,25
116.421749,39.978036,71.17,3,1,1,1,0.333,0,1,6,1981,0,0,0,1,0,1,0,0,0,0,363.0,465,-28
116.385962,39.847958,117.17,2,2,1,1,0.333,1,1,14,2006,0,0,1,0,0,0,0,0,0,1,692.0,537,22
116.442298,39.970551,73.38,2,1,1,1,0.25,1,1,21,1995,1,0,0,0,0,0,0,0,0,1,360.0,480,-33
116.609957,39.91983,67.37,1,1,1,1,0.4,1,0,26,2009,0,0,1,0,0,0,0,0,0,1,315.0,314,0
116.421985,40.058455,98.75,4,0,1,1,0.25,1,1,15,2008,0,0,0,1,0,0,0,0,0,1,509.0,445,12
116.483653,39.88914000000001,44.76,1,0,1,1,0.4,1,1,20,2010,0,0,1,0,0,0,0,0,0,1,419.0,324,22
116.314055,39.920498,47.3,2,1,1,1,0.5,0,1,6,1988,0,0,0,1,0,1,0,0,0,0,548.0,474,13
116.349005,40.079347,104.69,3,1,1,1,0.5,0,1,6,2003,0,0,0,1,0,1,0,0,0,0,450.0,427,4
116.464926,39.88896,59.19,2,1,1,1,0.333,1,1,12,1980,0,0,1,0,0,0,0,0,0,1,355.0,335,5
116.35881,39.905008,77.1,3,1,1,1,0.222,1,0,20,1983,1,0,0,0,0,1,0,0,0,0,680.0,683,0
116.455069,39.844997,96.99,2,2,1,1,0.333,1,1,8,2012,0,0,0,1,0,0,0,0,0,1,475.0,621,-30
116.16963,39.760938,89.36,2,2,1,1,0.333,1,0,11,2011,0,0,1,0,0,0,0,0,0,1,246.0,253,-2
116.242945,40.215684,89.0,3,1,1,1,0.667,1,0,26,2012,0,0,1,0,0,0,0,0,0,1,326.0,387,-18
116.37921,40.01336,47.08,1,0,1,1,0.16699999999999998,1,1,18,2005,0,0,1,0,0,0,0,0,0,1,290.0,288,0
116.456759,39.968701,64.01,1,1,1,1,0.5,1,1,18,2005,1,0,0,0,0,0,0,0,0,1,548.0,444,18
116.445996,40.069568,100.88,2,1,1,1,0.25,1,0,18,2001,1,0,0,0,0,1,0,0,0,0,346.8,346,0
116.342088,39.749733,78.71,3,1,1,1,0.333,0,1,6,1990,0,0,0,1,0,1,0,0,0,0,312.0,251,19
116.407787,39.957288,65.47,3,0,1,1,0.333,0,1,6,1988,0,0,0,1,0,1,0,0,0,0,450.0,575,-27
116.329598,39.682354,122.32,3,2,1,2,0.5,1,1,21,2014,0,0,0,1,0,0,0,0,0,1,325.5,413,-26
116.478815,39.948291,73.86,3,1,1,1,0.5,0,1,6,1993,0,0,0,1,0,1,0,0,0,0,320.0,451,-41
116.353594,40.088104,163.45,4,2,1,2,0.5,0,0,6,2003,0,0,0,1,0,0,0,1,0,0,425.0,521,-22
116.350565,39.733387,45.89,1,1,1,1,0.333,0,0,6,1991,0,0,0,1,0,1,0,0,0,0,117.0,150,-28
116.512916,39.966511,44.5,1,0,1,1,0.28600000000000003,1,0,24,2008,1,0,0,0,0,0,0,0,0,1,226.0,265,-17
116.431342,40.071807,54.7,1,1,1,1,0.333,0,0,6,2000,0,0,0,1,0,1,0,0,0,0,205.0,212,-3
116.697838,40.110591,74.31,2,1,1,1,0.5,0,0,6,2007,0,0,0,1,0,1,0,0,0,0,218.0,272,-25
116.37921,40.01336,66.65,1,1,1,1,0.16699999999999998,1,1,18,2005,0,0,1,0,0,0,0,0,0,1,429.0,431,0
116.420546,39.997876,65.01,2,1,1,1,0.25,1,1,25,1990,1,0,0,0,0,0,0,0,0,1,485.0,441,9
116.430215,39.990791,53.1,2,1,1,1,0.333,0,1,6,1982,0,0,0,1,0,1,0,0,0,0,293.0,355,-21
116.332045,40.08133400000001,83.84,3,1,1,1,0.5,0,0,6,1996,0,0,0,1,0,1,0,0,0,0,355.0,345,2
116.661047,39.932185,70.1,2,1,1,1,0.5,0,0,6,1995,0,0,0,1,0,1,0,0,0,0,340.0,277,18
116.488534,39.875468,56.43,2,1,1,1,0.5,0,1,6,1994,0,0,0,1,0,1,0,0,0,0,190.0,270,-42
116.400524,39.958938,55.31,2,1,1,1,0.333,1,1,12,1989,1,0,0,0,0,0,0,0,0,1,475.0,522,-9
116.352622,39.925716,41.8,1,1,1,1,0.333,0,1,6,1982,0,0,0,1,0,0,0,1,0,0,543.0,418,22
116.418802,40.010659,64.29,1,2,1,1,0.4,1,1,30,2008,1,0,0,0,0,0,0,0,0,1,650.0,416,35
116.636725,40.031531,97.44,2,2,1,1,0.5,0,0,7,1999,0,0,0,1,0,1,0,0,0,0,254.0,183,27
116.274464,40.123882,84.83,2,1,1,1,0.5,1,0,18,2012,0,0,0,1,0,0,0,0,0,1,400.0,352,11
116.509336,39.941162,49.4,1,1,1,1,0.16699999999999998,1,0,11,1990,0,0,1,0,0,0,0,0,0,1,196.0,285,-45
116.117724,39.941152,45.32,1,0,1,1,0.125,1,0,14,2006,0,0,1,0,0,0,0,0,0,1,210.0,125,40
116.414421,40.053513,79.44,2,1,1,1,0.5,1,0,21,2007,0,0,1,0,0,0,0,0,0,1,253.0,317,-25
116.462517,39.931273,60.61,2,1,1,1,0.333,0,1,6,1981,0,0,0,1,0,1,0,0,0,0,550.0,443,19
116.46827,39.99957,177.63,3,1,1,2,0.5,1,1,9,2001,0,0,1,0,0,0,0,0,0,1,1280.0,1202,6
116.38536299999998,39.971122,50.0,1,0,0,0,0.28600000000000003,1,0,20,2011,0,0,1,0,0,0,0,0,0,1,630.0,574,8
116.661432,40.180564,110.0,3,2,1,1,0.5,0,0,6,1998,0,0,0,1,0,1,0,0,0,0,261.0,350,-34
116.434287,39.952814,81.15,3,1,1,1,0.333,0,1,6,1993,0,0,0,1,0,1,0,0,0,0,850.0,757,10
116.175983,39.767012,68.82,1,1,1,1,0.5,1,0,16,2007,0,0,1,0,0,0,0,0,0,1,122.5,217,-77
116.369475,40.069842,130.01,3,2,1,2,0.5,0,0,5,2004,0,0,0,1,0,1,0,0,0,0,642.0,686,-6
116.404579,39.978491,61.22,2,1,1,1,0.333,0,1,6,1985,0,0,0,1,0,1,0,0,0,0,489.0,420,13
116.422479,40.06389,60.82,1,0,1,1,0.15,1,1,19,2004,1,0,0,0,0,0,0,0,0,1,148.0,247,-67
116.422479,40.06389,55.38,1,0,0,1,0.2,1,1,30,2004,1,0,0,0,0,0,0,0,0,1,158.5,187,-18
116.366959,39.902344,36.99,1,0,1,1,0.2,0,1,6,1982,0,0,0,1,0,1,0,0,0,0,310.0,343,-10
116.341145,39.966434,54.58,2,1,1,1,0.5,0,0,6,1984,0,0,0,1,0,1,0,0,0,0,490.0,461,5
116.512261,39.943052,49.74,1,0,1,1,0.083,0,0,22,2007,1,0,0,0,0,0,0,0,0,1,197.0,257,-30
116.287408,39.906807,64.16,1,1,1,1,0.16699999999999998,1,0,24,2000,1,0,0,0,0,0,0,0,0,1,505.0,425,15
116.647356,39.896263,138.81,3,2,1,2,0.5,0,1,6,2002,0,0,0,1,0,1,0,0,0,0,715.0,510,28
116.514014,39.921793,54.17,2,1,1,1,0.091,1,0,14,2000,0,0,1,0,0,0,0,0,0,1,200.0,271,-35
116.455069,39.844997,62.91,1,0,1,1,0.25,1,1,11,2012,0,0,0,1,0,0,0,0,0,1,270.0,364,-34
116.371423,39.803826,71.07,2,1,1,1,0.5,0,0,6,1999,0,0,0,1,0,1,0,0,0,0,369.0,302,18
116.272671,39.925011,63.7,2,1,1,1,0.5,0,0,5,1992,0,0,0,1,0,1,0,0,0,0,295.0,435,-47
116.455654,39.898084,50.36,1,1,1,1,0.3,1,1,28,2009,1,0,0,0,0,0,0,0,0,1,247.0,324,-31
116.434144,39.892211,47.26,1,1,1,1,0.25,0,1,6,1993,0,0,0,1,0,1,0,0,0,0,310.0,389,-25
116.423905,39.791207,94.21,2,2,1,1,0.5,0,0,5,2004,0,0,0,1,0,0,0,0,0,1,415.0,411,0
116.521774,39.94004,47.52,1,0,1,1,0.333,1,0,27,2007,0,0,1,0,0,0,0,0,0,1,331.0,293,11
116.529466,39.928033,50.67,1,2,1,2,0.154,1,1,16,2007,1,0,0,0,0,0,0,0,0,1,416.0,407,2
116.447783,39.94387,151.87,3,2,1,2,0.667,1,1,22,2003,0,0,1,0,0,0,0,0,0,1,1435.0,1254,12
116.650734,39.914025,101.58,2,1,1,1,0.28600000000000003,1,1,23,2002,1,0,0,0,0,0,0,0,0,1,400.0,413,-3
116.35566,39.925071,58.9,2,1,1,1,0.333,0,1,5,1960,0,0,0,1,0,1,0,0,0,0,475.0,555,-16
116.436169,40.001247,50.41,1,1,1,1,0.333,0,1,5,1994,0,0,0,1,0,0,0,1,0,0,390.0,316,18
116.467726,40.005504,81.91,3,1,1,1,0.5,0,1,7,2000,0,0,0,1,0,1,0,0,0,0,452.0,524,-16
116.39575,40.086338,181.57,4,2,1,2,0.5,0,0,6,2000,0,0,0,1,0,0,0,1,0,0,550.0,421,23
116.271746,40.05804000000001,76.61,2,1,1,1,0.5,0,1,6,2004,0,0,0,1,0,1,0,0,0,0,640.0,577,9
116.252459,39.969521,98.8,2,2,1,1,0.5,0,0,5,2005,0,0,0,1,0,1,0,0,0,0,560.0,581,-3
116.560215,40.093,51.35,1,1,1,1,0.25,1,1,9,2007,0,0,1,0,0,0,0,0,0,1,172.0,257,-49
116.312131,39.970749,60.0,2,1,1,1,0.333,0,0,6,1990,0,0,0,1,0,1,0,0,0,0,455.0,539,-18
116.07251399999998,39.678855,88.73,2,1,1,1,0.5,0,0,15,2013,0,0,0,1,0,0,0,0,0,1,277.0,184,33
116.314787,39.981606,67.6,2,1,1,1,0.333,1,1,12,1989,0,0,0,1,0,0,0,0,0,1,560.0,559,0
116.670768,40.209956,91.58,2,2,1,1,0.5,1,0,6,2008,0,0,0,1,0,0,0,0,0,1,400.0,296,25
116.6512,39.898186,87.15,2,1,1,1,0.5,1,1,18,2005,0,0,1,0,0,0,0,0,0,1,440.0,378,13
116.472064,39.88768,51.24,2,1,1,1,0.333,0,1,5,1976,0,0,0,1,0,0,0,1,0,0,220.0,253,-15
116.352899,39.889225,50.0,3,1,1,1,0.333,0,0,6,1983,0,0,0,1,0,1,0,0,0,0,413.0,418,-1
116.373323,40.086012,37.74,1,1,1,1,0.333,0,1,6,1986,0,0,0,1,0,1,0,0,0,0,240.0,190,20
116.433451,39.923705,55.1,1,1,1,1,0.667,1,1,16,2004,0,0,1,0,0,0,0,0,0,1,540.0,530,1
116.31531,39.865675,74.03,2,1,1,1,0.125,1,1,9,2000,0,0,1,0,0,0,0,0,0,1,294.0,373,-26
116.365688,39.9033,49.86,1,1,1,1,0.333,0,1,6,1999,0,0,0,1,0,1,0,0,0,0,479.0,494,-3
116.417045,40.006843,45.59,1,1,1,1,0.25,0,1,6,1993,0,0,0,1,0,1,0,0,0,0,218.0,307,-40
116.362593,39.940019,43.6,1,1,1,1,0.28600000000000003,1,1,16,1999,1,0,0,0,0,1,0,0,0,0,369.0,427,-15
116.35881,39.905008,42.57,1,1,1,1,0.25,0,0,6,1984,0,0,0,1,0,1,0,0,0,0,386.0,408,-5
116.39854,39.865338,42.3,1,1,1,1,0.333,0,0,5,1989,0,0,0,1,0,0,0,1,0,0,178.0,231,-30
116.396879,39.953216,54.1,2,1,1,1,0.333,0,1,6,1981,0,0,0,1,0,1,0,0,0,0,695.0,616,11
116.329598,39.682354,72.87,2,1,1,1,0.5,1,1,18,2014,0,0,0,1,0,0,0,0,0,1,217.5,264,-21
116.342088,39.749733,40.0,1,1,1,1,0.5,0,1,6,1992,0,0,0,1,0,1,0,0,0,0,220.0,170,22
116.471931,40.008739,96.0,2,1,1,1,0.3,1,1,28,1998,1,0,0,0,0,0,0,0,0,1,588.0,514,12
116.388556,39.984576,92.54,3,1,1,1,0.5,0,1,6,1995,0,0,0,1,0,1,0,0,0,0,845.0,723,14
116.440157,39.983438,63.51,3,1,1,1,0.333,0,1,6,1982,0,0,0,1,0,1,0,0,0,0,263.0,368,-40
116.343785,39.893621,111.76,2,2,1,2,0.222,1,1,28,1999,1,0,0,0,0,0,0,0,0,1,755.0,826,-9
116.481581,39.938271,60.21,2,1,1,1,0.125,1,1,14,1990,0,0,1,0,0,0,0,0,0,1,410.0,362,11
116.385869,39.772399,87.59,3,1,1,1,0.5,0,0,6,1998,0,0,0,1,0,1,0,0,0,0,266.0,270,-1
116.402242,39.973402,49.14,2,1,1,1,0.25,1,1,21,1990,1,0,0,0,0,0,0,0,0,1,318.0,320,0
116.349792,39.92528400000001,63.0,2,1,1,1,0.25,0,0,6,1992,0,0,0,1,0,1,0,0,0,0,602.0,608,-1
116.421876,40.008585,78.3,1,1,1,1,1.0,1,1,13,2000,0,0,0,1,0,0,0,0,0,1,409.0,514,-25
116.445165,40.044682,98.43,2,1,1,1,0.5,1,0,7,2004,0,0,0,1,0,1,0,0,0,0,723.0,684,5
116.480675,39.868869,48.05,1,1,1,1,0.25,0,0,6,2005,0,0,0,1,0,1,0,0,0,0,310.0,245,20
116.446995,39.961109,73.26,2,1,1,1,0.25,1,0,21,1993,1,0,0,0,0,0,0,0,0,1,367.0,456,-24
116.503578,39.961829,68.72,2,1,1,1,0.5,0,0,6,1995,0,0,0,1,0,1,0,0,0,0,270.0,360,-33
116.470616,39.901069,110.43,2,1,1,2,0.5,1,1,21,2006,0,0,0,1,0,0,0,0,0,1,510.0,666,-30
116.439371,39.896367,96.64,3,1,1,1,0.3,1,1,17,1999,1,0,0,0,0,0,0,0,0,1,915.0,679,25
116.514316,39.918722,60.76,1,1,1,1,0.333,1,0,18,2007,1,0,0,0,0,0,0,0,0,1,408.0,368,9
116.24369,40.221606,43.17,1,1,1,1,0.333,0,1,6,1992,0,0,0,1,0,1,0,0,0,0,200.5,166,16
116.407868,39.95802,56.13,2,1,1,1,0.333,0,1,6,1990,0,0,0,1,0,1,0,0,0,0,650.0,478,26
116.552177,39.970849,119.25,3,2,1,2,0.5,0,0,4,2003,0,0,0,1,0,0,0,0,0,1,895.0,726,18
116.37785,39.842419,54.0,2,1,1,1,0.154,1,1,21,2009,1,0,0,0,0,0,0,0,0,1,215.0,275,-27
116.438762,39.854215,70.75,2,1,1,1,0.25,1,1,18,2003,0,0,1,0,0,0,0,0,0,1,248.5,284,-14
116.527591,39.826956,90.32,2,1,1,1,0.5,0,0,6,2000,0,0,0,1,0,1,0,0,0,0,310.0,262,15
116.25701399999998,40.054948,124.97,2,2,1,2,0.333,1,1,9,2008,0,0,1,0,0,0,0,0,0,1,730.0,800,-9
116.505445,39.939085,44.7,1,1,1,1,0.5,0,0,6,1994,0,0,0,1,0,1,0,0,0,0,193.0,258,-33
116.42537,40.052808,69.56,1,1,1,1,0.3,1,0,23,2008,0,0,1,0,0,0,0,0,0,1,312.5,357,-14
116.420472,40.003028,62.06,2,1,1,1,0.5,0,1,6,1993,0,0,0,1,0,1,0,0,0,0,355.0,430,-21
116.39651299999998,39.894353,43.46,1,1,1,1,0.14300000000000002,1,1,16,1989,1,0,0,0,0,0,0,0,0,1,240.0,347,-44
116.229624,39.915004,113.27,3,2,1,2,0.5,0,0,6,1999,0,0,0,1,0,1,0,0,0,0,318.0,437,-37
116.232119,40.223852,36.38,1,0,0,0,0.14300000000000002,1,1,15,2009,1,0,0,0,0,0,0,0,0,1,145.0,131,9
116.41678,40.071013,186.05,4,1,1,2,0.5,1,1,13,2001,0,0,0,1,0,1,0,0,0,0,430.0,598,-39
116.309045,40.083072,84.99,2,2,1,1,0.5,0,0,6,2000,0,0,0,1,0,1,0,0,0,0,215.0,289,-34
116.415742,40.077796,83.32,2,1,1,1,0.25,1,1,10,2003,0,0,0,1,0,0,0,0,0,1,297.0,341,-14
116.481564,39.933347,59.49,2,1,1,1,0.5,0,1,6,1987,0,0,0,1,0,1,0,0,0,0,392.0,364,7
116.431552,40.082903,166.14,2,2,1,2,0.5,1,0,18,2004,0,0,0,1,0,0,0,0,0,1,545.0,515,5
116.40635,40.052459000000006,81.52,2,1,1,1,0.333,0,0,6,1998,0,0,0,1,0,1,0,0,0,0,448.0,290,35
116.22693999999998,40.231616,63.71,2,1,1,1,0.333,0,0,6,1993,0,0,0,1,0,1,0,0,0,0,139.0,246,-77
116.247008,39.906426,137.78,3,2,1,2,0.5,1,1,26,2005,0,0,1,0,0,0,0,0,0,1,900.0,815,9
116.322852,40.088619,130.26,3,2,1,2,0.5,0,0,6,2009,0,0,0,1,0,1,0,0,0,0,500.0,392,21
116.385135,39.977329,55.58,1,0,1,1,0.345,1,1,30,2010,1,0,0,0,0,0,0,0,0,1,230.0,218,4
116.318694,40.087485,87.37,2,1,1,2,0.5,0,0,6,2006,0,0,0,1,0,1,0,0,0,0,370.0,355,3
116.382471,40.08696,42.44,1,0,1,1,0.25,0,0,6,2003,0,0,0,1,0,1,0,0,0,0,141.5,174,-23
116.202122,39.928963,67.76,2,1,1,1,0.2,1,0,18,2001,0,0,1,0,0,0,0,0,0,1,368.0,319,13
116.638919,39.900576,50.78,1,1,1,1,0.16699999999999998,1,0,22,2009,1,0,0,0,0,0,0,0,0,1,307.7,253,17
116.359861,39.890339,41.91,1,1,1,1,0.667,1,1,18,1999,0,0,1,0,0,0,0,0,0,1,495.0,372,24
116.505098,39.918019,68.0,1,2,1,1,0.667,1,0,21,2006,0,0,0,1,0,0,0,0,0,1,538.0,402,25
116.344224,39.881161,106.61,2,2,1,1,0.25,1,0,22,2000,1,0,0,0,0,0,0,0,0,1,785.0,686,12
116.154608,39.726495,88.42,2,1,1,2,0.5,1,0,15,2013,0,0,0,1,0,0,0,0,0,1,208.0,314,-51
116.444051,39.988741,79.84,3,1,1,1,0.28600000000000003,1,0,18,1990,1,0,0,0,0,0,0,0,0,1,653.0,557,14
116.404579,39.978491,56.71,2,1,1,1,0.333,0,1,6,1989,0,0,0,1,0,1,0,0,0,0,495.0,368,25
116.391726,39.978788,61.2,3,1,1,1,0.333,0,1,6,1984,0,0,0,1,0,1,0,0,0,0,568.0,639,-12
116.430966,40.05675,100.82,3,2,1,1,0.667,1,0,27,2012,0,0,1,0,0,0,0,0,0,1,600.0,664,-10
116.320594,39.769022,87.03,2,1,1,1,0.5,0,0,6,2001,0,0,0,1,0,1,0,0,0,0,235.0,277,-18
116.448876,39.901694,125.95,2,1,1,2,0.25,1,1,27,2004,1,0,0,0,0,0,0,0,0,1,810.0,849,-4
116.518854,39.939588,95.36,2,1,1,2,0.4,1,0,27,2006,0,0,1,0,0,0,0,0,0,1,550.0,541,1
116.328109,39.676703,96.0,4,2,1,2,0.5,1,1,27,2014,0,0,0,1,0,0,0,0,0,1,488.0,413,15
116.335484,40.09232,84.44,2,1,1,1,0.5,0,1,7,2000,0,0,0,1,0,1,0,0,0,0,429.0,336,21
116.212671,39.900574,88.46,2,2,1,1,0.5,1,0,24,2012,0,0,1,0,0,0,0,0,0,1,556.0,527,5
116.52013,39.936383,65.4,1,1,1,1,0.4,1,0,18,2006,0,0,1,0,0,0,0,0,0,1,285.0,388,-36
116.481447,39.937145,164.74,3,2,1,2,0.273,1,1,22,2003,1,0,0,0,0,0,0,0,0,1,900.0,824,8
116.471931,40.008739,140.15,3,2,1,2,0.375,1,1,28,1998,1,0,0,0,0,0,0,0,0,1,675.0,570,15
116.566103,39.92841,43.76,1,0,1,1,0.333,1,1,14,2003,0,0,0,1,0,0,0,0,0,1,254.0,220,13
116.42537,40.052808,76.58,1,1,1,1,0.3,1,1,25,2006,1,0,0,0,0,0,0,0,0,1,470.0,392,16
116.399018,39.978141,42.5,1,1,1,1,0.333,0,1,6,1997,0,0,0,1,0,1,0,0,0,0,440.0,478,-8
116.293444,40.037849,61.21,2,1,1,1,0.5,0,0,6,1994,0,0,0,1,0,1,0,0,0,0,390.0,371,4
116.518854,39.939588,130.32,3,2,1,2,0.5,1,0,27,2006,0,0,1,0,0,0,0,0,0,1,488.0,714,-46
116.612765,39.905006,58.21,1,1,1,1,0.25,1,0,22,2005,1,0,0,0,0,0,0,0,0,1,216.0,243,-12
116.432684,40.077562,103.62,2,1,1,1,0.25,1,0,21,2008,1,0,0,0,0,0,0,0,0,1,405.0,301,25
116.349009,40.074638,78.99,2,1,1,1,0.333,0,1,6,2004,0,0,0,1,0,1,0,0,0,0,401.0,341,14
116.41917,40.124757,57.94,2,1,1,1,0.2,0,0,6,2000,0,0,0,1,0,1,0,0,0,0,136.0,235,-73
116.374562,40.09134,124.43,3,2,1,1,0.5,0,1,6,2008,0,0,0,1,0,1,0,0,0,0,280.0,314,-12
116.194945,39.777521,89.25,3,1,1,1,0.5,1,0,18,2014,0,0,0,1,0,0,0,0,0,1,226.8,319,-40
116.476213,39.897851,88.57,2,1,1,1,0.5,1,1,28,2010,0,0,1,0,0,0,0,0,0,1,818.0,694,15
116.386555,40.0865,135.6,3,2,1,2,0.5,1,0,10,2009,0,0,0,1,0,0,0,0,0,1,643.0,485,24
116.513063,39.93712100000001,66.58,1,1,1,1,0.28600000000000003,1,0,25,2006,0,0,1,0,0,0,0,0,0,1,246.0,354,-44
116.518978,39.904327,101.83,2,1,1,1,0.4,1,0,16,2006,0,0,1,0,0,0,0,0,0,1,320.0,484,-51
116.470595,39.938853,55.09,2,1,1,1,0.333,0,1,6,1981,0,0,0,1,0,0,0,0,0,1,260.0,349,-34
116.234102,39.949217,49.74,2,1,1,1,0.5,0,0,6,2005,0,0,0,1,0,0,0,0,0,1,160.0,275,-72
116.476546,39.905624,111.36,2,1,1,1,0.333,1,1,33,2007,1,0,0,0,0,0,0,0,0,1,456.0,648,-42
116.298736,39.934527,41.9,1,1,1,1,0.25,0,1,6,1997,0,0,0,1,0,1,0,0,0,0,351.8,370,-5
116.42171299999998,39.971435,70.45,2,1,1,1,0.333,0,1,6,1998,0,0,0,1,0,0,0,1,0,0,433.0,502,-16
116.63734,39.88191,84.85,2,2,1,1,0.222,1,0,22,2008,0,0,1,0,0,0,0,0,0,1,229.0,265,-15
116.432142,39.902354,41.38,1,0,1,1,0.333,1,1,15,2008,0,0,1,0,0,0,0,0,0,1,285.0,433,-52
116.343244,40.063366,77.42,2,1,1,1,0.5,0,1,7,2000,0,0,0,1,0,1,0,0,0,0,475.0,464,2
116.59088,39.924096,67.47,2,1,1,1,0.5,0,1,6,1996,0,0,0,1,0,1,0,0,0,0,220.0,293,-33
116.454649,39.880106,117.86,3,1,1,1,0.25,1,1,19,2000,1,0,0,0,0,0,0,0,0,1,424.0,587,-38
116.486709,39.895879,158.0,3,1,1,2,0.429,1,1,25,2004,1,0,0,0,0,0,0,0,0,1,1037.0,1066,-2
116.364688,39.88333400000001,89.68,2,1,1,1,0.25,1,0,18,2001,1,0,0,0,0,0,0,0,0,1,760.0,675,11
116.271746,40.05804000000001,74.99,2,1,1,1,0.333,0,1,6,2004,0,0,0,1,0,1,0,0,0,0,557.0,563,-1
116.49983,39.94453,261.85,4,2,1,2,0.667,1,0,27,2007,0,0,1,0,0,0,0,0,0,1,1840.0,1559,15
116.331607,39.777363,106.28,3,1,1,2,0.333,0,1,6,2007,0,0,0,1,0,1,0,0,0,0,530.0,417,21
116.697632,39.920038,198.0,3,3,1,3,0.5,1,0,17,2012,0,0,1,0,0,0,0,0,0,1,1300.0,968,25
116.332299,39.885776,46.79,1,0,1,1,0.4,1,1,18,2006,0,0,1,0,0,0,0,0,0,1,374.0,370,0
116.556567,39.952006,100.21,2,2,1,1,0.2,1,0,12,2008,1,0,0,0,0,0,0,0,0,1,373.0,391,-5
116.384761,39.844664,60.85,2,1,1,1,0.2,1,1,18,2002,1,0,0,0,0,0,0,0,0,1,189.0,311,-64
116.247008,39.906426,57.0,1,1,1,1,0.4,1,0,27,2007,1,0,0,0,0,0,0,0,0,1,470.0,314,32
116.555729,40.162058,153.06,3,3,1,3,0.5,0,0,6,2009,0,0,0,1,0,1,0,0,0,0,418.0,561,-34
116.561978,39.877145,177.74,3,2,1,2,0.5,1,0,11,2009,0,0,1,0,0,0,0,0,0,1,460.0,652,-41
116.448783,39.894213,99.04,2,2,1,1,0.333,1,0,22,2006,0,0,1,0,0,0,0,0,0,1,750.0,758,-1
116.37785,39.842419,54.0,1,0,1,1,0.138,1,1,21,2010,1,0,0,0,0,0,0,0,0,1,201.0,180,10
116.492767,39.998248,175.0,3,2,1,2,0.667,1,0,27,2009,0,0,0,1,0,0,0,0,0,1,1240.0,1212,2
116.308152,39.98669500000001,40.51,1,1,1,1,0.333,0,0,6,1992,0,0,0,1,0,1,0,0,0,0,360.0,401,-11
116.117724,39.941152,41.95,1,0,1,1,0.25,1,0,14,2006,0,0,1,0,0,0,0,0,0,1,204.0,195,4
116.493878,40.000306,120.44,2,2,1,2,0.5,1,0,14,2005,0,0,0,1,0,0,0,0,0,1,1050.0,843,19
116.383332,39.962892,53.4,2,1,1,1,0.333,0,0,5,1980,0,0,0,1,0,1,0,0,0,0,720.0,603,16
